date,comment
2020. 4. 29.,불매운동 끝~ 나만없어 모동숲 코로나 끝나면 일본여행 가야지 시전중~
2020. 4. 29.,"닌텐도스위치 + 동물의 숲
이거로 게임 끝났지."
2020. 4. 29.,"아가리만 반일 선택적으로 친일이든 반일이든 극일이든 자유자제라는것 ㅋㅋ


과거사 작작 따지자 "
2020. 4. 29.,저도 처음부터 반일운동 신경 안쓰고 내가 좋으면 사고 싫음 말고 그랬습니다. 소비의 선택은 본인 자유기 때문입니다.
2020. 3. 10.,요즘 춥지도 않은데 내보으 쪽팔리게 입고 다니는지 천해보이게
2020. 3. 10.,효성이라...스즈끼가 왜 생각나지?
2020. 3. 10.,베충이.tk 갈라파고스만 빼고 한번 한다면하는 국민들이 대한민국이지 ^^
2020. 3. 5.,우리의 진짜 친구 유니클로 !! ㅋㅋㅋㅋ
2020. 3. 5.,홍보팀들 지들이 친일파들인거 멩세 하시고~ 안 사요~
2020. 3. 5.,"봄이 오니 광고가 올라오기는 해야겠지만, 그냥 그렇다."
2020. 3. 5.,안산다
2020. 3. 5.,윽 촌시러
2020. 3. 5.,퉤
2020. 3. 5.,I love uniqlo
2020. 2. 27.,"고작1500만원  우린 1500억원 기부하고도 일본의무시와혐한을 당했는데
마스크에 방사능 있는건 아니구"
2020. 2. 27.,마스크 사재기 했던거야??고맙긴 하다만 난 불매 계속 할껀데.....
2020. 2. 27.,"마스크  1만5천장  ㅋㅋ
너희 나라  국민이나  도와라
우리는 예전의 일도 생생하게 기억한단다"
2020. 2. 27.,가식의 끝은 어디인가....너무나  티나게 하니까 더 경계하게 된다...내가 비록 독립운동은 못했지만...불매운동은 할수 있다...
2020. 2. 27.,기부는 기부고 난 일본제품 안쓰고 사는 취미가 쏠쏠하다 ㅋㅋㅋㅋ
2020. 2. 27.,"유니클로의 불매운동은 끝까지 갑니다.
얍쌉한 마케팅~으로 물타기 하지 마라."
